,index,media_id,img_url,alt_text
107,148,3_1549376106041692161,https://pbs.twimg.com/media/FYB9XAgX0AEWFoE.jpg,"A medium-sized trophy with a bronze baseball player on in a pitching wind-up position and a cylinder-shaped base that is slightly wider at the bottom. The base is engraved with the letters G. P. O., which stands for General Post Office, above a list of 17 first initials and last names of the players. Towards the bottom a small oval shaped silver plaque reads: Champions 1937 NYPO Hon Albert Goldman Postmaster  "
108,149,3_1549377120757071872,https://pbs.twimg.com/media/FYB-SEnXwAA0QSS.jpg,"Close-up of trophy showing last names, which are listed here: 

Abramowitz
Altman
Bodinger
Comn
Hochman
Monsanto
Monteverde
Payne
Petrizz
Sambralis
Sezani
Sheklin
Sugarman
Murkofsky
Wermer
West
Block"
109,150,3_1549373170930651137,https://pbs.twimg.com/media/FYB6sKXXkAEPRhg.jpg,"A baseball jersey with a light gray body and maroon sleeves and lettering, depicting the team's name Azteca in cursive-like font.  "
110,151,3_1549372267469176837,https://pbs.twimg.com/media/FYB53ktXgAU9rEv.jpg,"A horizontal, postcard sized letter written on a typewriter in black ink on yellowing paper. Faded post office stamps in black ink cover some text and indicate where and when it was sent from. The letter reads: 

BOARD OF EDUCATION OF THE CITY OF NEW YORK, N.Y. Thursday. 

Dear Jackie, For the sake of the many School Children of New York, City. Please donot quit baseball They all love you so much. You have a few years left to play. We will be out there rooting for you next summer. 

Money means alot; but it isn’t everything. Please Please Please Signed All the Children  "
111,152,3_1549371886194331648,https://pbs.twimg.com/media/FYB5hYWXEAACCWz.jpg,"Painting of Jackie Robinson with a yellow background for the top three-quarters of the page and bright green, representing a baseball field, in the bottom. Robinson’s portrait, where he stares intensely into the distance shows him in a navy-blue hat and white jersey with navy blue stripes on the collar. In the foreground, a smaller scene of Robinson sliding into home plate, which is guarded by a catcher.  "
112,153,3_1549371476108771328,https://pbs.twimg.com/media/FYB5JgqWAAAl6Ju.jpg,"A white diamond-shaped sign that says “National Postal Museum Baseball America’s Home Run” in blue, red, and white. It has a picture of a baseball left of the bottom corner. The sign is suspended above the Postmaster’s Gallery entrance (the exhibit‘s location) on a grass green arch with pentagon-shaped white bases to represent home plates and large three-dimensional baseballs on top of both posts.  "
113,154,3_1549360098660810753,https://pbs.twimg.com/media/FYBuzQXXgAEV9ei.jpg,"A color photograph of Secretary Lonnie Bunch (left) and Sonya Pankey (right). They are both standing, smiling and wearing formal clothing."
114,155,3_1547954278152622086,https://pbs.twimg.com/media/FXtwNu3VUAYnZ3y.png,"Pink water lily with yellow petals at center. Below it, lily pads in light and dark green and dark water. Sunny day."
115,156,3_1547585760978620416,https://pbs.twimg.com/media/FXohDNaVUAAkmxw.jpg,"Half-length seated illustrated portrait of Mary McLeod Bethune. Her face, with a gentle expression, is rendered in great detail. Her clothing appears in a more loosely sketched style."
116,157,3_1547329706378334210,https://pbs.twimg.com/media/FXk4K3sXEAIDURc.jpg,"Evening painting of the ocean at night, with perhaps three sailboats. The water is dark blue. The sky is lighter blue. Thick gold frame around the painting."
